population,murder,rape,robbery,Aggravated Assault,Breaking & Entering,larceny_theft,Motor Vehicle Theft,crime_level
215787,5,34,251,343,1280,6345,787,0
66102,3,18,57,235,990,2156,131,1
36662,1,5,23,57,229,728,19,0
16785,0,9,4,90,142,254,21,1
149090,3,27,147,273,834,2121,227,0
146422,8,27,129,309,1731,3235,353,0
20399,0,7,21,57,113,234,9,1
218590,4,31,167,419,921,3590,358,0
31747,1,6,8,103,216,506,42,0
561031,14,92,634,1523,2152,10620,702,1
24386,0,9,7,79,146,255,37,1
589400,16,132,665,716,5047,15391,1401,0
18884,0,8,4,83,208,246,20,1
721218,34,276,2427,4690,6972,26296,4751,1
29306,1,3,4,42,187,449,20,0
72721,4,26,48,234,596,1921,49,1
29830,0,4,1,63,170,322,14,0
785567,36,151,1787,3407,4949,18607,3372,1
16864,0,4,4,58,127,322,22,1
692346,94,459,2574,3444,10065,22571,7921,1
66705,2,22,46,217,746,1809,106,1
150632,9,35,168,360,616,1774,230,1
188117,1,49,134,531,782,3012,252,1
1062595,20,421,582,840,1449,12029,784,0
86211,5,11,21,255,366,1449,68,0
781730,199,554,8103,5849,15969,33950,5909,1
154882,5,53,77,542,1226,3120,403,1
23832,3,9,6,80,150,287,32,1
668499,61,410,3841,2185,14643,27127,4565,1
26236,1,2,17,66,163,387,19,0
205533,3,52,171,427,1182,3818,336,0
571436,21,92,651,367,5860,17060,2029,0
93504,4,12,66,203,702,1819,150,0
77983,3,27,52,316,664,1432,83,1
136805,2,37,78,349,1498,3576,242,0
25674,1,9,21,104,192,455,26,1
78049,2,42,196,588,1090,3156,231,1
63271,2,11,19,187,345,989,52,0
118809,2,30,124,544,642,2781,272,1
30076,2,12,10,108,181,402,35,1
25822,1,10,13,83,107,277,17,1
134236,5,32,159,540,778,2903,524,1
849387,164,305,5172,3856,7445,28457,17242,1
149781,8,44,136,399,590,2019,171,1
89373,2,7,22,336,433,1333,108,1
79721,1,7,18,84,502,1611,99,0
841216,141,267,3831,3276,7188,25384,11646,1
326167,8,57,167,285,428,3624,264,0
97068,8,8,40,196,846,2306,117,0
32571,6,11,29,93,228,778,61,1
165546,10,28,167,364,1691,5117,930,0
